id,data,model,score
90,XSUM,BERT,-0.7256185319497227
1,XSUM,PG,-1.1577928153176327
61,XSUM,PG,-0.9668104628144363
134,XSUM,PG,1.311253874435883
11,XSUM,BERT,0.07775228293465879
129,XSUM,PG,-0.7297560488805864
98,XSUM,BERT,-0.10923447955683359
77,XSUM,PG,0.5921275100713297
94,XSUM,BERT,-1.2007222544028635
97,XSUM,BERT,-0.7979479240631648
27,XSUM,BERT,-1.254384053259402
131,XSUM,BERT,0.5321280709035855
90,XSUM,PG,-0.3421669732677362
24,XSUM,PG,-0.835822022178402
105,XSUM,BERT,1.4418767703845068
118,XSUM,PG,0.24490558801041198
40,XSUM,PG,1.1674242117398868
88,XSUM,BERT,0.36530532758115425
76,XSUM,BERT,0.7775414382745288
113,XSUM,PG,0.027436032327918154
128,XSUM,PG,-1.2484678589604423
121,XSUM,BERT,-0.1452459852837774
75,XSUM,BERT,-0.3688431506033023
94,XSUM,PG,-1.0155681781169725
124,XSUM,PG,-1.114045355113641
28,XSUM,PG,-1.2256837472480158
88,XSUM,PG,-1.1321884213563183
15,XSUM,PG,-0.267569707538053
87,XSUM,BERT,0.47888397361979956
43,XSUM,PG,-1.0515137816891722
55,XSUM,BERT,0.9415915091742996
18,XSUM,BERT,0.6060322476416484
46,XSUM,PG,-0.6706313511417207
39,XSUM,PG,-1.1694310238694616
35,XSUM,PG,-0.9291119632103314
54,XSUM,PG,0.00038065496205661836
68,XSUM,BERT,-1.3307808566478867
119,XSUM,BERT,-0.4330172581080674
85,XSUM,PG,1.7346699320221204
72,XSUM,PG,-1.0932356543484198
51,XSUM,PG,-0.2178083934136942
27,XSUM,PG,-1.183707036933715
7,XSUM,PG,0.5719812029130419
8,XSUM,PG,-0.23752061062838856
69,XSUM,BERT,-0.45606623670626356
70,XSUM,PG,-0.6792790928398394
16,XSUM,BERT,-0.7936963926442436
33,XSUM,BERT,-0.5243853588292376
11,XSUM,PG,-0.8065253021757668
95,XSUM,PG,-0.21048826367081333
62,XSUM,PG,-0.1791535327296009
84,XSUM,PG,-0.8477161417243265
45,XSUM,BERT,-0.974288712931798
22,XSUM,BERT,-0.3984279653388652
32,XSUM,BERT,-0.3607699360286476
6,XSUM,BERT,-0.9651062424529068
51,XSUM,BERT,-0.22678129946145584
38,XSUM,BERT,0.07441491616876254
16,XSUM,PG,0.3821554213648244
47,XSUM,BERT,-1.1130438071799533
132,XSUM,BERT,-0.21871884761089633
87,XSUM,PG,-0.449474913494772
81,XSUM,PG,-0.14605239666921746
28,XSUM,BERT,-1.1729677257667825
58,XSUM,BERT,-0.41568244610848176
128,XSUM,BERT,-0.07580491854694633
104,XSUM,BERT,0.8322577477269877
53,XSUM,PG,-0.729618951404571
55,XSUM,PG,-1.3720601026628925
107,XSUM,BERT,-0.3973098183287537
117,XSUM,PG,-1.451015361840114
115,XSUM,PG,-1.1746719547198383
98,XSUM,PG,-0.1837539167325982
130,XSUM,BERT,1.4116603035146371
112,XSUM,PG,-1.4246969421143734
80,XSUM,PG,-0.9246469673253032
49,XSUM,PG,-1.1351943251312275
114,XSUM,BERT,-0.5422789825607836
91,XSUM,BERT,0.9159281154953917
125,XSUM,PG,-1.451015361840114
25,XSUM,PG,-0.663114666015363
9,XSUM,BERT,-0.8802696076111479
58,XSUM,PG,-0.8456917081480816
53,XSUM,BERT,0.024820120177023324
12,XSUM,BERT,-1.161512744856968
116,XSUM,PG,-1.145702070649673
4,XSUM,BERT,-1.2023954452048837
110,XSUM,BERT,1.3162570468508414
12,XSUM,PG,-1.2023954452048837
23,XSUM,BERT,1.3787820128565438
1,XSUM,BERT,-0.6710429955478011
54,XSUM,BERT,0.18288187098674716
86,XSUM,BERT,0.7434917098482415
74,XSUM,BERT,-1.098457591853664
60,XSUM,BERT,-0.5889065965877855
130,XSUM,PG,-0.23627497637568415
120,XSUM,PG,-0.19068754065791305
110,XSUM,PG,-0.5389558458254443
50,XSUM,PG,0.4020215014523723
121,XSUM,PG,-1.2023954452048837
14,XSUM,PG,0.0804267734861384
71,XSUM,PG,0.801723313232856
129,XSUM,BERT,-1.1834976536864803
112,XSUM,BERT,-0.9472752597064353
52,XSUM,PG,-1.1409100169388342
117,XSUM,BERT,-1.2023954452048837
41,XSUM,BERT,-1.2023954452048837
5,XSUM,PG,-0.8949683038746361
100,XSUM,BERT,0.018726394873929946
133,XSUM,BERT,-1.2023954452048837
3,XSUM,PG,0.5516656047701975
